non_obscene	articl	5.1005935725705874e-05
non_obscene	page	2.15750332138314e-05
non_obscene	the	1.2326913600392046e-06
non_obscene	edit	1.225907153710278e-05
non_obscene	wikipedia	3.7229546017997797e-06
non_obscene	use	1.4977704861054991e-05
non_obscene	talk	2.008261873317385e-05
non_obscene	you	-8.882186500789117e-05
non_obscene	like	-5.281359316621211e-07
non_obscene	one	1.5270303840879067e-05
non_obscene	pleas	2.1316580504666262e-05
non_obscene	would	2.0972210810957485e-05
non_obscene	delet	7.075020111897198e-06
non_obscene	dont	-6.197619287156944e-06
non_obscene	thank	1.973646867621526e-05
non_obscene	sourc	1.1001053470086706e-05
non_obscene	see	1.2451791626451331e-05
non_obscene	think	1.0051138508066613e-05
non_obscene	make	6.073925752163287e-06
non_obscene	also	1.324965083849814e-05
non_obscene	know	-2.357915406525019e-06
non_obscene	time	6.599982238654127e-06
non_obscene	peopl	2.9659484871246088e-06
non_obscene	say	8.257421674583626e-06
non_obscene	get	-1.926138229152958e-05
non_obscene	thi	-8.128464653923009e-07
non_obscene	block	-1.029617095002036e-06
non_obscene	need	6.498728059027306e-06
non_obscene	may	7.468892230509958e-06
non_obscene	remov	5.529113688761173e-06
non_obscene	want	1.1588607471371256e-06
non_obscene	name	3.5280874684614043e-06
non_obscene	link	4.9006710286060265e-06
non_obscene	your	-2.3862472995008947e-05
non_obscene	person	2.49704003748604e-06
non_obscene	discuss	6.510060901452287e-06
non_obscene	look	6.893044317236403e-06
non_obscene	user	3.0910844357992335e-06
non_obscene	work	3.854481850322277e-06
non_obscene	even	4.492475464168598e-06
non_obscene	help	5.123722974255732e-06
non_obscene	inform	3.4375748101162593e-06
non_obscene	that	-1.107348986024334e-06
non_obscene	good	5.247876804782902e-06
non_obscene	refer	5.117753942566038e-06
non_obscene	comment	5.6434557307504614e-06
non_obscene	fuck	-0.004389892366794358
non_obscene	chang	5.51557458155247e-06
non_obscene	way	5.646189839197246e-06
non_obscene	well	5.7764143772467155e-06
non_obscene	list	4.0478015487908456e-06
non_obscene	could	5.485026738417994e-06
non_obscene	imag	1.1115852687564612e-06
non_obscene	editor	4.094141263802481e-06
non_obscene	tri	2.89390176181158e-06
non_obscene	section	4.233039145148398e-06
non_obscene	and	-9.902938269484491e-06
non_obscene	point	4.808855847505332e-06
non_obscene	question	4.257401620547777e-06
non_obscene	new	4.567363521269916e-06
non_obscene	thing	2.206171316358689e-06
non_obscene	read	2.6087638954193075e-06
non_obscene	ad	5.486751059108779e-06
non_obscene	take	-2.29360349901088e-07
non_obscene	first	3.979746904392108e-06
non_obscene	fact	4.783639150642239e-06
non_obscene	there	4.6333061808682775e-06
non_obscene	seem	5.966717873922929e-06
non_obscene	vandal	4.381348230181392e-07
non_obscene	find	3.94210609984762e-06
non_obscene	state	3.1536222401017633e-06
non_obscene	reason	2.8849217215026954e-06
non_obscene	revert	3.825222850093615e-06
non_obscene	right	-1.61389925070877e-06
non_obscene	made	4.005981486310578e-06
non_obscene	mani	3.96799730741947e-06
non_obscene	ask	3.3566088623209754e-06
non_obscene	place	2.9994125117226426e-06
non_obscene	much	4.004640279409498e-06
non_obscene	realli	2.2396678239494915e-06
non_obscene	what	-6.329949841318533e-06
non_obscene	mean	2.5924920485871244e-06
non_obscene	ive	3.3856501983026894e-06
non_obscene	includ	3.6515811095897364e-06
non_obscene	sinc	3.3203220174436195e-06
non_obscene	add	3.329874746415873e-06
non_obscene	tag	9.072764755587563e-07
non_obscene	note	3.1170085352928304e-06
non_obscene	word	2.962747477249497e-06
non_obscene	creat	2.2608615043288414e-06
non_obscene	call	1.2722469996275925e-06
non_obscene	back	1.557972130258517e-06
non_obscene	contribut	2.341489999353548e-06
non_obscene	someon	3.2928750879523134e-06
non_obscene	post	3.017199888710682e-07
non_obscene	polici	2.0903685583318358e-06
non_obscene	still	1.5480739340882538e-06
non_obscene	issu	2.390325203375388e-06
non_obscene	content	1.8270662814457759e-06
non_obscene	stop	-7.70223457686315e-06
non_obscene	two	2.717384733266436e-06
non_obscene	actual	2.6789350191341945e-06
non_obscene	year	2.4211233517336433e-06
non_obscene	consid	2.5665154137833067e-06
non_obscene	put	2.1041145292585686e-06
non_obscene	said	2.1412147797814216e-07
non_obscene	but	2.4386898535631265e-06
non_obscene	someth	2.5305763515617597e-06
non_obscene	case	2.8916121677257596e-06
non_obscene	claim	2.126409461770495e-06
non_obscene	go	-1.8715748413413554e-06
non_obscene	mention	2.8797267226268805e-06
non_obscene	come	-2.5781927942174986e-06
non_obscene	without	2.6760186493299817e-06
non_obscene	feel	3.0342233847065604e-06
non_obscene	show	2.269932160830498e-06
non_obscene	sure	3.0091415719477865e-06
non_obscene	problem	2.7286060396747943e-06
non_obscene	hope	1.754904082749286e-06
non_obscene	let	2.432027142155332e-06
non_obscene	give	-3.1862102399799613e-06
non_obscene	it	4.4271811296599075e-07
non_obscene	differ	1.8707212819716696e-06
non_obscene	histori	1.6450979403191443e-06
non_obscene	interest	2.143881715459602e-06
non_obscene	believ	2.6484094193869406e-06
non_obscene	utc	3.4297952663970646e-06
non_obscene	subject	1.048741832952072e-06
non_obscene	doesnt	1.688283173194903e-06
non_obscene	keep	1.1543145216387636e-06
non_obscene	welcom	1.79535028288277e-06
non_obscene	anoth	2.506591205011505e-06
non_obscene	write	2.3751506988598983e-06
non_obscene	day	1.1009645887064164e-06
non_obscene	notabl	1.022208631573181e-06
non_obscene	might	2.4172706629704247e-06
non_obscene	continu	2.466947767210875e-06
non_obscene	part	2.141402260742691e-06
