737951	0	27985	0
737987	0	27949	0
737980	0	27954	2
737748	2	28153	33
737902	63	27652	319
737778	153	27172	833
737672	210	26928	1126
737309	400	25956	2271
737555	387	25722	2272
737093	691	23989	4163
736984	849	23134	4969
736787	1032	22582	5535
736249	1313	22219	6155
735990	2030	19092	8824
736324	1705	19527	8380
735851	1973	18998	9114
735324	2517	17496	10599
735123	2602	17031	11180
734612	3238	16577	11509
733275	4432	15240	12989
733823	4012	15120	12981
733298	4597	14578	13463
733305	4675	14599	13357
733852	4154	14421	13509
733364	4411	14267	13894
733145	4720	14044	14027
732990	4995	13638	14313
732053	5764	13342	14777
732513	5289	13235	14899
731614	6315	12368	15639
729370	8324	11631	16611
729086	8614	11036	17200
731487	6623	11633	16193
729529	8413	10739	17255
728455	9302	11120	17059
729566	8370	10610	17390
729224	8627	10291	17794
727926	10121	10134	17755
729276	8611	10382	17667
726169	11676	9489	18602
727207	10607	9871	18251
726273	11538	9370	18755
726821	10992	9620	18503
726752	11172	9459	18553
726397	11275	9224	19040
721698	16362	8063	19813
727686	10128	9272	18850
724037	14015	8223	19661
725767	11967	9083	19119
723964	13780	8469	19723
726318	11620	9067	18931
724517	13423	8944	19052
725346	12626	8614	19350
722374	15641	7998	19923
725950	12033	8846	19107
724128	13555	8425	19828
723674	14193	8275	19794
723280	14509	8022	20125
723362	14247	7803	20524
722666	15259	7868	20143
720411	17550	7020	20955
723037	14878	8296	19725
721277	16436	7121	21102
719886	17869	7179	21002
718351	19464	7097	21024
719899	18002	7264	20771
717363	20477	7163	20933
717703	19880	7044	21309
721764	16112	7341	20719
719140	18765	6729	21302
721105	16811	7211	20809
713985	23865	6311	21775
717641	20229	6440	21626
715990	21597	6606	21743
717910	20024	6856	21146
717494	20160	6577	21705
714136	23644	6104	22052
712542	25208	5975	22211
717962	19661	6787	21526
718161	19659	6979	21137
713255	24581	5902	22198
712761	25091	6064	22020
714054	23926	6030	21926
714827	22976	6540	21593
715589	22287	6005	22055
713183	24856	5814	22083
715370	22501	5863	22202
711677	26245	5317	22697
713485	24460	6135	21856
712984	24746	5909	22297
707344	30463	5014	23115
710246	27645	5492	22553
702630	35206	4891	23209
707860	30046	5307	22723
713663	24171	5607	22495
709507	28240	5356	22833
706561	31428	4954	22993
710085	27720	5628	22503
710568	27291	5422	22655
706583	31345	5056	22952
714004	23920	5812	22200
709930	27964	5750	22292
700109	37616	4421	23790
708459	29487	5340	22650
711132	26883	5640	22281
703055	34668	4657	23556
708679	29187	4944	23126
704314	33541	4447	23634
705392	32382	4481	23681
704671	33307	4721	23237
708106	29825	4966	23039
706652	31214	4861	23209
708297	29531	5147	22961
706906	30668	4922	23440
709545	28172	5277	22942
700352	37351	4190	24043
699512	38264	4102	24058
703617	34480	4372	23467
704979	32794	4599	23564
706459	31252	4801	23424
696147	41682	3993	24114
698184	39661	4232	23859
702776	35148	4482	23530
694039	43771	3919	24207
706320	31631	4739	23246
706335	31425	4725	23451
712240	25630	5393	22673
698271	39600	3995	24070
697031	40932	3954	24019
697914	39711	4366	23945
695556	42264	3677	24439
698622	39154	4074	24086
699138	38570	3996	24232
698988	38953	4380	23615
704606	33304	4517	23509
694348	43687	3718	24183
702374	35564	4330	23668
700799	37036	4371	23730
700405	37487	4240	23804
697945	39790	3902	24299
704405	33164	4536	23831
692499	45401	3635	24401
705186	32775	4766	23209
701611	36440	4152	23733
696096	41832	4066	23942
693167	44918	3859	23992
704598	33305	4728	23305
698806	39047	3890	24193
696748	41131	3864	24193
696205	41850	3856	24025
697838	40025	3862	24211
697729	40210	3833	24164
701382	36546	4449	23559
694770	43220	3860	24086
696316	41487	3822	24311
694820	43051	3693	24372
689069	48761	3339	24767
696940	40764	3726	24506
699000	38621	4015	24300
694994	43007	3717	24218
695569	42339	3780	24248
695969	42052	3977	23938
687914	49944	3145	24933
703416	34689	4499	23332
693045	44777	3622	24492
694137	43973	3490	24336
694470	43535	3654	24277
689994	47889	3336	24717
694170	43577	3701	24488
691427	46282	3592	24635
689305	48670	3378	24583
698183	39687	4033	24033
702777	35025	4717	23417
691764	45796	3410	24966
697672	40409	3884	23971
691736	46037	3583	24580
691699	46122	3493	24622
685386	52353	3223	24974
683788	54112	2905	25131
690659	47262	3192	24823
692815	45188	3483	24450
691310	46478	3328	24820
693939	43962	3426	24609
689213	48543	3257	24923
688155	49748	3397	24636
676865	60843	2636	25592
690215	47478	3186	25057
694145	43561	3519	24711
687502	50463	3161	24810
692576	45181	3449	24730
687542	50372	2960	25062
691906	45782	3506	24742
678161	59616	2763	25396
689050	48662	3353	24871
692609	45102	3296	24929
694690	43151	3446	24649
678985	58956	2814	25181
686180	51750	3307	24699
683899	54097	2755	25185
687202	50865	2968	24901
682223	55527	2687	25499
684310	53522	3080	25024
689324	48659	3335	24618
687284	50478	3079	25095
689879	48127	3432	24498
680013	57552	2899	25472
677742	60335	2587	25272
684696	53126	3037	25077
688300	49486	3090	25060
688393	49697	3114	24732
684997	52786	2855	25298
687876	49861	2829	25370
676006	61792	2548	25590
679725	58508	2726	24977
688162	49451	3311	25012
682031	55944	3058	24903
686609	51403	3161	24763
677264	60426	2604	25642
685683	52062	2944	25247
679507	58195	2783	25451
686734	51081	2937	25184
682030	56003	2766	25137
682601	55228	2692	25415
674717	62971	2394	25854
683544	54327	2959	25106
672305	65586	2160	25885
693251	44728	3615	24342
677329	60401	2814	25392
677348	60321	2625	25642
681324	56545	2628	25439
675909	62005	2584	25438
684149	53801	2832	25154
682188	55735	2763	25250
680613	57323	2548	25452
674976	63032	2532	25396
656624	81396	1895	26021
686711	51264	3149	24812
670387	67468	2538	25543
677202	60676	2700	25358
677354	60317	2410	25855
685452	52608	2695	25181
674536	63316	2302	25782
663633	74165	2062	26076
678768	59296	2901	24971
676872	61007	2364	25693
683670	54321	2991	24954
675717	62109	2406	25704
683235	54603	2948	25150
677422	60488	2590	25436
683036	54916	2787	25197
675039	62956	2524	25417
677797	60003	2390	25746
675417	62626	2446	25447
672565	65210	2228	25933
661552	76409	1863	26112
655537	82407	1913	26079
674228	63653	2524	25531
658692	79213	2064	25967
676895	60845	2612	25584
673550	64209	2424	25753
674989	62736	2531	25680
675508	62165	2549	25714
661709	75932	1974	26321
677241	60545	2568	25582
668278	69733	2108	25817
674169	63570	2439	25758
668438	69297	2304	25897
686392	51555	2949	25040
679810	58140	2785	25201
666740	70915	2045	26236
674327	63694	2175	25740
677794	60141	2735	25266
662798	74925	1981	26232
667238	70607	2086	26005
676358	61640	2620	25318
669560	68255	2456	25665
665223	72650	2036	26027
664044	73703	2059	26130
674222	63842	2514	25358
679732	58051	2888	25265
681024	56843	2436	25633
681265	56659	2466	25546
667377	70265	2057	26237
681721	56167	2608	25440
660772	77134	1991	26039
675418	62263	2610	25645
667232	70619	2126	25959
659896	77940	1876	26224
671007	66892	2117	25920
665792	72227	2172	25745
673557	64288	2587	25504
662425	75395	1998	26118
649898	87882	1815	26341
672209	65576	2238	25913
661507	76120	1820	26489
671728	66368	2146	25694
664872	73022	1834	26208
663778	74011	1819	26328
673723	64039	2286	25888
672918	65063	2379	25576
672201	65665	3115	24955
664462	73484	1983	26007
670303	67468	2252	25913
668303	69480	2183	25970
659999	77699	1758	26480
657541	80073	1695	26627
674209	63434	2288	26005
670013	67913	2271	25739
660842	76912	1881	26301
670660	67172	2144	25960
658171	79527	1848	26390
649709	88034	1565	26628
664621	73209	2386	25720
667507	70390	2384	25655
653779	84098	1809	26250
673085	64802	2193	25856
679485	58265	2592	25594
662958	75039	1933	26006
671350	66489	2354	25743
670530	67398	2335	25673
673216	64768	2148	25804
646654	91204	1448	26630
666440	71459	1929	26108
667415	70492	1910	26119
657840	80187	1818	26091
662475	75390	1909	26162
672614	65317	2294	25711
665069	72669	1877	26321
674423	63329	2287	25897
658712	79215	1745	26264
674788	63131	2208	25809
660881	77051	1954	26050
665078	72785	1844	26229
658205	79628	1812	26291
666424	71298	1937	26277
643797	94052	1532	26555
657193	80607	1922	26214
662286	75464	2474	25712
660211	77688	1826	26211
